top - 21:48:07 up 12:58,  1 user,  load average: 0.01, 0.02, 0.15
Tasks: 225 total,   1 running, 224 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.0 us,  5.6 sy,  0.0 ni, 57.1 id,  0.3 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3746488 total,  1450996 free,   870204 used,  1425288 buff/cache
 1126 arpher    20   0   34600    284     12 S   0.0  0.0   0:00.03 upstart-ud+
 1133 arpher    20   0   43996   4404   2784 S   0.0  0.1   0:01.93 dbus-daemon
 1145 arpher    20   0   88092   9028   8432 S   0.0  0.2   0:00.03 window-sta+
 1169 arpher    20   0  418932  41124  24032 S   0.0  1.1   0:00.71 fcitx
 1172 arpher    20   0  354596   7844   6652 S   0.0  0.2   0:00.33 gnome-keyr+
 1189 arpher    20   0   34536    340     12 S   0.0  0.0   0:00.95 upstart-db+
 1191 arpher    20   0   34624   1664   1268 S   0.0  0.0   0:00.39 upstart-db+
 1195 arpher    20   0   43028    428     12 S   0.0  0.0   0:00.01 upstart-fi+
 1196 arpher    20   0  168280    680    392 S   0.0  0.0   0:00.53 gpg-agent
 1202 arpher    20   0   42904   3280   2940 S   0.0  0.1   0:00.19 dbus-daemon
 1208 root      20   0  354196  30348  23432 S   0.0  0.8   0:00.72 apache2
 1213 www-data  20   0  354220   9008   2084 S   0.0  0.2   0:00.00 apache2
 1214 www-data  20   0  354220   9008   2084 S   0.0  0.2   0:00.00 apache2
 1215 www-data  20   0  354220   9008   2084 S   0.0  0.2   0:00.00 apache2
 1216 www-data  20   0  354220   9008   2084 S   0.0  0.2   0:00.00 apache2
 1217 www-data  20   0  354220   9008   2084 S   0.0  0.2   0:00.00 apache2
 1224 arpher    20   0  521176  31484  24032 S   0.0  0.8   0:00.64 bamfdaemon
 1234 arpher    20   0  649060  39932  34156 S   0.0  1.1   0:00.44 hud-service
 1236 arpher    20   0  984024  32728  25032 S   0.0  0.9   0:01.12 unity-sett+
 1241 arpher    39  19   27636    240     12 S   0.0  0.0   0:00.00 fcitx-dbus+
 1254 arpher    20   0  276264   6620   5868 S   0.0  0.2   0:00.04 gvfsd
 1266 arpher    20   0  419960   8940   6156 S   0.0  0.2   0:00.00 gvfsd-fuse
 1283 arpher    20   0  178792   4948   4252 S   0.0  0.1   0:00.05 dconf-serv+
 1285 arpher    20   0  353676   9968   7132 S   0.0  0.3   0:00.01 at-spi-bus+
 1288 arpher    20   0  635524  16924  12716 S   0.0  0.5   0:00.24 gnome-sess+
 1290 arpher    20   0  635220  35112  25728 S   0.0  0.9   0:04.25 unity-pane+
 1300 arpher    20   0   42900   3912   3436 S   0.0  0.1   0:00.07 dbus-daemon
 1308 arpher    20   0  206868   6276   5636 S   0.0  0.2   0:00.21 at-spi2-re+
 1325 root      20   0  349352  12232   8652 S   0.0  0.3   0:00.72 upowerd
 1369 arpher    20   0  486236  31216  26140 S   0.0  0.8   0:01.15 notify-osd
 1374 arpher    20   0 1543676 224888  77696 S   0.0  6.0   5:05.52 compiz
 1380 arpher    20   0  510844  12552   9200 S   0.0  0.3   8:35.73 pulseaudio
 1381 rtkit     21   1  183544   2976   2692 S   0.0  0.1   0:00.19 rtkit-daem+
 1385 colord    20   0  315508  12980  10076 S   0.0  0.3   0:00.09 colord
 1392 arpher    20   0  371816  11372   8296 S   0.0  0.3   0:00.02 indicator-+
 1393 arpher    20   0  350800   9764   6988 S   0.0  0.3   0:00.00 indicator-+
 1394 arpher    20   0  363136  12016   8592 S   0.0  0.3   0:00.14 indicator-+
 1395 arpher    20   0 1241564  19376  14628 S   0.0  0.5   0:00.36 indicator-+
 1396 arpher    20   0  572224  29660  21516 S   0.0  0.8   0:00.12 indicator-+
